Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Cost of good sold,Selling price
199-75-8169,A,New York,Member,Male,Food and beverages,15.81,10,7.91,166.005,3/6/2019,12:27,Credit card,158.1,170.75
853-23-2453,B,San Francisco,Member,Male,Health and beauty,75.74,4,15.15,318.108,2/14/2019,14:35,Cash,302.96,409
877-22-3308,A,New York,Member,Male,Health and beauty,15.87,10,7.94,166.635,3/13/2019,16:40,Cash,158.7,214.25
838-78-4295,C,Los Angeles,Normal,Female,Health and beauty,33.47,2,3.35,70.287,2/10/2019,15:43,Ewallet,66.94,90.37
109-28-2512,B,San Francisco,Member,Female,Food and beverages,97.61,6,29.28,614.943,1/7/2019,15:01,Ewallet,585.66,632.51
232-11-3025,A,New York,Normal,Male,Food and beverages,78.77,10,39.39,827.085,1/24/2019,10:04,Cash,787.7,850.72
382-03-4532,A,New York,Member,Female,Health and beauty,18.33,1,0.92,19.2465,2/2/2019,18:50,Cash,18.33,24.75
393-65-2792,C,Los Angeles,Normal,Male,Food and beverages,89.48,10,44.74,939.54,1/6/2019,12:46,Credit card,894.8,966.38
796-12-2025,C,Los Angeles,Normal,Male,Food and beverages,62.12,10,31.06,652.26,2/11/2019,16:19,Cash,621.2,670.9
510-95-6347,B,San Francisco,Member,Female,Food and beverages,48.52,3,7.28,152.838,3/5/2019,18:17,Ewallet,145.56,157.2
841-35-6630,C,Los Angeles,Normal,Female,Electronic accessories,75.91,6,22.77,478.233,3/9/2019,18:21,Cash,455.46,637.64
287-21-9091,A,New York,Normal,Male,Home and lifestyle,74.67,9,33.6,705.6315,1/22/2019,10:55,Ewallet,672.03,907.24
732-94-0499,C,Los Angeles,Normal,Female,Electronic accessories,41.65,10,20.83,437.325,1/13/2019,17:04,Credit card,416.5,583.1
263-10-3913,C,Los Angeles,Member,Male,Food and beverages,49.04,9,22.07,463.428,1/9/2019,14:20,Credit card,441.36,476.67
381-20-0914,A,New York,Member,Female,Food and beverages,20.01,9,9,189.0945,1/12/2019,15:48,Credit card,180.09,194.5
829-49-1914,C,Los Angeles,Member,Female,Food and beverages,78.31,10,39.16,822.255,3/5/2019,16:24,Ewallet,783.1,845.75
756-01-7507,C,Los Angeles,Normal,Female,Health and beauty,20.38,5,5.1,106.995,1/22/2019,18:56,Cash,101.9,137.57
870-72-4431,C,Los Angeles,Normal,Female,Health and beauty,99.19,6,29.76,624.897,1/21/2019,14:42,Credit card,595.14,803.44
847-38-7188,B,San Francisco,Normal,Female,Food and beverages,96.68,3,14.5,304.542,1/26/2019,19:56,Ewallet,290.04,313.24
480-63-2856,C,Los Angeles,Normal,Male,Food and beverages,19.25,8,7.7,161.7,1/23/2019,18:37,Ewallet,154,166.32
787-56-0757,C,Los Angeles,Member,Female,Food and beverages,80.36,4,16.07,337.512,2/23/2019,18:45,Credit card,321.44,347.16
360-39-5055,C,Los Angeles,Member,Male,Food and beverages,48.91,5,12.23,256.7775,3/9/2019,10:17,Cash,244.55,264.11
730-50-9884,C,Los Angeles,Normal,Female,Food and beverages,83.06,7,29.07,610.491,3/5/2019,14:31,Ewallet,581.42,627.93
362-58-8315,C,Los Angeles,Normal,Male,Food and beverages,76.52,5,19.13,401.73,3/25/2019,10:23,Cash,382.6,413.21
633-44-8566,A,New York,Member,Male,Food and beverages,49.38,7,17.28,362.943,3/27/2019,20:35,Credit card,345.66,373.31
504-35-8843,A,New York,Normal,Male,Food and beverages,42.47,1,2.12,44.5935,1/2/2019,16:57,Cash,42.47,45.87
318-68-5053,B,San Francisco,Normal,Female,Health and beauty,76.99,6,23.1,485.037,2/27/2019,17:55,Cash,461.94,623.62
565-80-5980,C,Los Angeles,Member,Female,Home and lifestyle,47.38,4,9.48,198.996,1/23/2019,10:25,Cash,189.52,255.85
225-32-0908,C,Los Angeles,Normal,Female,Food and beverages,44.86,10,22.43,471.03,1/26/2019,19:54,Ewallet,448.6,484.49
873-51-0671,A,New York,Member,Female,Food and beverages,21.98,7,7.69,161.553,1/10/2019,16:42,Ewallet,153.86,166.17
152-08-9985,B,San Francisco,Member,Male,Health and beauty,64.36,9,28.96,608.202,3/12/2019,12:09,Credit card,579.24,781.97
512-91-0811,C,Los Angeles,Normal,Male,Health and beauty,89.75,1,4.49,94.2375,2/6/2019,20:05,Credit card,89.75,121.16
594-34-4444,A,New York,Normal,Male,Electronic accessories,97.16,1,4.86,102.018,3/8/2019,20:38,Ewallet,97.16,136.02
766-85-7061,B,San Francisco,Normal,Male,Health and beauty,87.87,10,43.94,922.635,3/29/2019,10:25,Ewallet,878.7,1186.25
871-39-9221,C,Los Angeles,Normal,Female,Electronic accessories,12.45,6,3.74,78.435,2/9/2019,13:11,Cash,74.7,104.58
865-92-6136,A,New York,Normal,Male,Food and beverages,52.75,3,7.91,166.1625,3/23/2019,10:16,Ewallet,158.25,170.91
733-01-9107,B,San Francisco,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,3/5/2019,18:14,Cash,496.2,669.87
163-56-7055,C,Los Angeles,Member,Male,Food and beverages,48.71,1,2.44,51.1455,3/26/2019,19:20,Cash,48.71,52.61
189-98-2939,C,Los Angeles,Normal,Male,Food and beverages,78.55,9,35.35,742.2975,3/1/2019,13:22,Cash,706.95,763.51
551-21-3069,C,Los Angeles,Normal,Female,Electronic accessories,23.07,9,10.38,218.0115,2/1/2019,11:27,Cash,207.63,290.68
212-62-1842,A,New York,Normal,Male,Food and beverages,58.26,6,17.48,367.038,3/28/2019,16:44,Cash,349.56,377.52
716-39-1409,B,San Francisco,Normal,Male,Health and beauty,30.35,7,10.62,223.0725,3/19/2019,18:19,Cash,212.45,286.81
704-48-3927,A,New York,Member,Male,Electronic accessories,88.67,10,44.34,931.035,1/12/2019,14:50,Ewallet,886.7,1241.38
628-34-3388,C,Los Angeles,Normal,Male,Food and beverages,27.38,6,8.21,172.494,1/5/2019,20:54,Credit card,164.28,177.42
630-74-5166,A,New York,Normal,Male,Food and beverages,62.13,6,18.64,391.419,3/22/2019,20:19,Cash,372.78,402.6
588-01-7461,C,Los Angeles,Normal,Female,Food and beverages,33.98,9,15.29,321.111,3/24/2019,10:43,Cash,305.82,330.29
861-77-0145,C,Los Angeles,Member,Male,Electronic accessories,81.97,10,40.99,860.685,3/3/2019,14:30,Cash,819.7,1147.58
479-26-8945,B,San Francisco,Member,Female,Food and beverages,16.49,2,1.65,34.629,2/5/2019,11:32,Ewallet,32.98,35.62
210-67-5886,C,Los Angeles,Member,Female,Health and beauty,98.21,3,14.73,309.3615,2/5/2019,10:41,Credit card,294.63,397.75
227-78-1148,B,San Francisco,Normal,Female,Food and beverages,72.84,7,25.49,535.374,2/15/2019,12:44,Cash,509.88,550.67
645-44-1170,A,New York,Member,Male,Home and lifestyle,58.07,9,26.13,548.7615,1/19/2019,20:07,Ewallet,522.63,705.55
237-01-6122,C,Los Angeles,Member,Female,Home and lifestyle,80.79,9,36.36,763.4655,2/1/2019,20:31,Credit card,727.11,981.6
225-98-1496,C,Los Angeles,Normal,Female,Food and beverages,27.02,3,4.05,85.113,3/2/2019,13:01,Credit card,81.06,87.54
291-32-1427,B,San Francisco,Member,Male,Food and beverages,21.94,5,5.49,115.185,3/5/2019,12:29,Ewallet,109.7,118.48
659-65-8956,B,San Francisco,Member,Male,Food and beverages,51.36,1,2.57,53.928,1/16/2019,15:26,Ewallet,51.36,55.47
642-32-2990,A,New York,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2/2/2019,20:48,Ewallet,109.6,118.37
378-24-2715,B,San Francisco,Normal,Male,Home and lifestyle,53.44,2,5.34,112.224,1/20/2019,20:38,Ewallet,106.88,144.29
638-60-7125,A,New York,Normal,Female,Electronic accessories,99.56,8,39.82,836.304,2/14/2019,17:03,Credit card,796.48,1115.07
659-36-1684,C,Los Angeles,Member,Male,Food and beverages,57.12,7,19.99,419.832,1/12/2019,12:02,Credit card,399.84,431.83
219-22-9386,B,San Francisco,Member,Male,Food and beverages,99.96,9,44.98,944.622,3/9/2019,17:26,Credit card,899.64,971.61
336-78-2147,C,Los Angeles,Member,Male,Home and lifestyle,63.91,8,25.56,536.844,3/13/2019,19:52,Credit card,511.28,690.23
268-27-6179,B,San Francisco,Member,Female,Food and beverages,56.47,8,22.59,474.348,3/9/2019,14:57,Ewallet,451.76,487.9
668-90-8900,A,New York,Normal,Female,Home and lifestyle,93.69,7,32.79,688.6215,3/10/2019,18:44,Credit card,655.83,885.37
870-54-3162,A,New York,Normal,Female,Food and beverages,32.25,5,8.06,169.3125,1/27/2019,13:26,Cash,161.25,174.15
189-08-9157,C,Los Angeles,Normal,Female,Food and beverages,31.73,9,14.28,299.8485,1/8/2019,16:17,Credit card,285.57,308.42
663-86-9076,C,Los Angeles,Member,Female,Food and beverages,68.54,8,27.42,575.736,1/8/2019,15:57,Ewallet,548.32,592.19
549-84-7482,B,San Francisco,Normal,Female,Food and beverages,90.28,9,40.63,853.146,2/8/2019,11:15,Ewallet,812.52,877.52
191-10-6171,B,San Francisco,Normal,Female,Food and beverages,39.62,7,13.87,291.207,1/25/2019,13:18,Cash,277.34,299.53
802-70-5316,A,New York,Member,Female,Food and beverages,92.13,6,27.64,580.419,3/6/2019,20:34,Cash,552.78,597
695-51-0018,B,San Francisco,Normal,Female,Food and beverages,34.84,4,6.97,146.328,2/10/2019,18:36,Cash,139.36,150.51
590-83-4591,B,San Francisco,Member,Male,Electronic accessories,87.45,6,26.24,550.935,2/17/2019,14:40,Credit card,524.7,734.58
483-71-1164,C,Los Angeles,Normal,Female,Health and beauty,81.3,6,24.39,512.19,3/8/2019,16:43,Ewallet,487.8,658.53
597-78-7908,C,Los Angeles,Normal,Male,Food and beverages,90.22,3,13.53,284.193,2/18/2019,19:39,Cash,270.66,292.31
700-81-1757,A,New York,Normal,Female,Electronic accessories,26.31,5,6.58,138.1275,1/18/2019,20:59,Credit card,131.55,184.17
354-39-5160,A,New York,Member,Female,Home and lifestyle,34.42,6,10.33,216.846,2/18/2019,15:39,Cash,206.52,278.8
241-72-9525,B,San Francisco,Normal,Male,Food and beverages,51.91,10,25.96,545.055,2/16/2019,12:21,Cash,519.1,560.63
575-30-8091,A,New York,Normal,Male,Food and beverages,72.5,8,29,609,3/16/2019,19:25,Ewallet,580,626.4
731-81-9469,C,Los Angeles,Member,Female,Food and beverages,89.8,10,44.9,942.9,1/23/2019,13:00,Credit card,898,969.84
280-17-4359,C,Los Angeles,Member,Male,Health and beauty,90.5,10,45.25,950.25,1/25/2019,13:48,Cash,905,1221.75
338-65-2210,C,Los Angeles,Member,Female,Health and beauty,68.6,10,34.3,720.3,2/5/2019,19:57,Cash,686,926.1
488-25-4221,C,Los Angeles,Member,Female,Food and beverages,30.41,1,1.52,31.9305,2/22/2019,10:36,Credit card,30.41,32.84
239-10-7476,A,New York,Normal,Female,Home and lifestyle,77.95,6,23.39,491.085,1/21/2019,16:37,Ewallet,467.7,631.4
458-41-1477,C,Los Angeles,Normal,Female,Health and beauty,46.26,6,13.88,291.438,3/8/2019,17:11,Credit card,277.56,374.71
685-64-1609,A,New York,Member,Female,Food and beverages,30.14,10,15.07,316.47,2/10/2019,12:28,Ewallet,301.4,325.51
568-90-5112,C,Los Angeles,Normal,Male,Health and beauty,66.14,4,13.23,277.788,3/19/2019,12:46,Credit card,264.56,357.16
262-47-2794,B,San Francisco,Member,Male,Home and lifestyle,71.86,8,28.74,603.624,3/6/2019,15:07,Credit card,574.88,776.09
238-49-0436,A,New York,Normal,Male,Health and beauty,32.46,8,12.98,272.664,3/27/2019,13:48,Credit card,259.68,350.57
608-96-3517,B,San Francisco,Member,Female,Food and beverages,91.54,4,18.31,384.468,3/23/2019,19:20,Credit card,366.16,395.45
584-86-7256,C,Los Angeles,Member,Male,Food and beverages,34.56,7,12.1,254.016,3/11/2019,16:07,Credit card,241.92,261.27
746-94-0204,A,New York,Normal,Male,Food and beverages,83.24,9,37.46,786.618,1/29/2019,11:56,Credit card,749.16,809.09
214-17-6927,C,Los Angeles,Normal,Female,Food and beverages,16.48,6,4.94,103.824,2/7/2019,18:23,Ewallet,98.88,106.79
400-89-4171,C,Los Angeles,Normal,Female,Food and beverages,80.97,8,32.39,680.148,1/28/2019,13:05,Cash,647.76,699.58
782-95-9291,A,New York,Member,Male,Food and beverages,92.29,5,23.07,484.5225,2/20/2019,15:55,Credit card,461.45,498.37
279-74-2924,B,San Francisco,Member,Male,Electronic accessories,72.17,1,3.61,75.7785,1/4/2019,19:40,Cash,72.17,101.04
307-85-2293,B,San Francisco,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,3/7/2019,13:58,Ewallet,251.4,339.39
743-04-1105,B,San Francisco,Member,Male,Health and beauty,97.22,9,43.75,918.729,3/30/2019,14:43,Ewallet,874.98,1181.22
423-57-2993,B,San Francisco,Normal,Male,Food and beverages,93.39,6,28.02,588.357,3/27/2019,19:18,Ewallet,560.34,605.17
894-41-5205,C,Los Angeles,Normal,Female,Food and beverages,43.18,8,17.27,362.712,1/19/2019,19:39,Credit card,345.44,373.08
275-28-0149,A,New York,Normal,Male,Food and beverages,63.69,1,3.18,66.8745,2/25/2019,16:21,Cash,63.69,68.79
101-17-6199,A,New York,Normal,Male,Food and beverages,45.79,7,16.03,336.5565,3/13/2019,19:44,Credit card,320.53,346.17
423-80-0988,C,Los Angeles,Normal,Male,Food and beverages,76.4,2,7.64,160.44,1/30/2019,19:42,Ewallet,152.8,165.02
548-46-9322,B,San Francisco,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2/20/2019,15:24,Credit card,399,430.92
505-02-0892,B,San Francisco,Member,Male,Health and beauty,42.57,8,17.03,357.588,2/25/2019,14:12,Ewallet,340.56,459.76
234-65-2137,C,Los Angeles,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,1/16/2019,13:32,Cash,955.8,1290.33
687-47-8271,A,New York,Normal,Male,Food and beverages,98.98,10,49.49,1039.29,2/8/2019,16:20,Credit card,989.8,1068.98
796-32-9050,A,New York,Normal,Male,Food and beverages,51.28,6,15.38,323.064,1/19/2019,16:31,Cash,307.68,332.29
105-31-1824,A,New York,Member,Male,Food and beverages,69.52,7,24.33,510.972,2/1/2019,15:10,Credit card,486.64,525.57
249-42-3782,A,New York,Normal,Male,Health and beauty,70.01,5,17.5,367.5525,1/3/2019,11:36,Ewallet,350.05,472.57
316-55-4634,B,San Francisco,Member,Male,Food and beverages,80.05,5,20.01,420.2625,1/26/2019,12:45,Credit card,400.25,432.27
733-33-4967,C,Los Angeles,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,3/3/2019,19:17,Cash,166.8,233.52
608-27-6295,B,San Francisco,Member,Male,Electronic accessories,52.89,6,15.87,333.207,1/19/2019,17:34,Credit card,317.34,444.28
414-12-7047,B,San Francisco,Normal,Male,Food and beverages,19.79,8,7.92,166.236,1/18/2019,12:04,Ewallet,158.32,170.99
827-26-2100,A,New York,Member,Male,Home and lifestyle,33.84,9,15.23,319.788,3/21/2019,16:21,Ewallet,304.56,411.16
175-54-2529,A,New York,Member,Male,Food and beverages,22.17,8,8.87,186.228,3/3/2019,17:01,Credit card,177.36,191.55
139-52-2867,C,Los Angeles,Normal,Female,Food and beverages,22.51,7,7.88,165.4485,2/13/2019,10:50,Credit card,157.57,170.18
407-63-8975,A,New York,Normal,Male,Food and beverages,73.88,6,22.16,465.444,3/23/2019,19:16,Ewallet,443.28,478.74
342-65-4817,C,Los Angeles,Member,Male,Health and beauty,86.8,3,13.02,273.42,1/28/2019,16:47,Ewallet,260.4,351.54
130-98-8941,C,Los Angeles,Normal,Male,Food and beverages,64.26,7,22.49,472.311,2/9/2019,10:00,Cash,449.82,485.81
434-83-9547,C,Los Angeles,Member,Male,Food and beverages,38.47,8,15.39,323.148,1/23/2019,11:51,Cash,307.76,332.38
851-28-6367,A,New York,Member,Male,Food and beverages,15.5,10,7.75,162.75,3/23/2019,10:55,Ewallet,155,167.4
824-88-3614,C,Los Angeles,Normal,Male,Health and beauty,34.31,8,13.72,288.204,1/25/2019,15:00,Ewallet,274.48,370.55
586-25-0848,A,New York,Normal,Female,Food and beverages,12.34,7,4.32,90.699,3/4/2019,11:19,Credit card,86.38,93.29
895-66-0685,B,San Francisco,Member,Male,Food and beverages,18.08,3,2.71,56.952,3/5/2019,19:46,Ewallet,54.24,58.58
305-14-0245,B,San Francisco,Member,Female,Home and lifestyle,94.49,8,37.8,793.716,3/3/2019,19:00,Ewallet,755.92,1020.49
732-04-5373,B,San Francisco,Member,Male,Home and lifestyle,46.47,4,9.29,195.174,2/8/2019,10:53,Cash,185.88,250.94
400-60-7251,A,New York,Normal,Male,Home and lifestyle,74.07,1,3.7,77.7735,2/10/2019,12:50,Ewallet,74.07,99.99
593-65-1552,C,Los Angeles,Normal,Female,Home and lifestyle,69.81,4,13.96,293.202,1/28/2019,20:50,Credit card,279.24,376.97
284-34-9626,B,San Francisco,Normal,Female,Home and lifestyle,77.04,3,11.56,242.676,2/11/2019,10:39,Credit card,231.12,312.01
437-58-8131,B,San Francisco,Normal,Female,Food and beverages,73.52,2,7.35,154.392,1/15/2019,13:41,Ewallet,147.04,158.8
286-43-6208,C,Los Angeles,Normal,Female,Food and beverages,87.8,9,39.51,829.71,3/16/2019,19:08,Cash,790.2,853.42
641-43-2399,B,San Francisco,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,1/26/2019,20:23,Ewallet,102.2,137.97
831-07-6050,A,New York,Normal,Male,Electronic accessories,32.71,5,8.18,171.7275,3/19/2019,11:30,Credit card,163.55,228.97
556-86-3144,C,Los Angeles,Member,Female,Food and beverages,74.29,1,3.71,78.0045,1/13/2019,19:30,Cash,74.29,80.23
848-24-9445,C,Los Angeles,Member,Male,Health and beauty,43.7,2,4.37,91.77,3/26/2019,18:03,Cash,87.4,117.99
856-22-8149,A,New York,Normal,Female,Home and lifestyle,25.29,1,1.26,26.5545,3/23/2019,10:13,Ewallet,25.29,34.14
699-01-4164,C,Los Angeles,Normal,Male,Health and beauty,41.5,4,8.3,174.3,3/12/2019,19:58,Credit card,166,224.1
420-11-4919,C,Los Angeles,Member,Female,Food and beverages,71.39,5,17.85,374.7975,2/17/2019,19:57,Credit card,356.95,385.51
606-80-4905,C,Los Angeles,Member,Female,Food and beverages,19.15,6,5.75,120.645,1/29/2019,10:01,Credit card,114.9,124.09
542-41-0513,B,San Francisco,Member,Female,Electronic accessories,57.49,4,11.5,241.458,3/15/2019,11:57,Cash,229.96,321.94
426-39-2418,C,Los Angeles,Normal,Male,Electronic accessories,61.41,7,21.49,451.3635,1/14/2019,10:02,Cash,429.87,601.82
875-46-5808,B,San Francisco,Member,Male,Health and beauty,25.9,10,12.95,271.95,2/6/2019,14:51,Ewallet,259,349.65
394-43-4238,B,San Francisco,Member,Male,Home and lifestyle,17.77,5,4.44,93.2925,2/15/2019,12:42,Credit card,88.85,119.95
749-24-1565,A,New York,Normal,Female,Health and beauty,23.03,9,10.36,217.6335,1/3/2019,12:02,Ewallet,207.27,279.81
672-51-8681,C,Los Angeles,Member,Female,Electronic accessories,66.65,9,29.99,629.8425,1/4/2019,18:19,Credit card,599.85,839.79
263-87-5680,C,Los Angeles,Member,Female,Home and lifestyle,28.53,10,14.27,299.565,3/18/2019,17:38,Ewallet,285.3,385.16
